Time,Open,High,Low,Last,Change,Volume,"Open Interest"
09/15/17,1358.7,1358.7,1348.4,1349.1,-4.1000000000001,214,10404
09/14/17,1345.1,1358,1345.1,1353.2,1.9000000000001,141,10396
09/13/17,1361.7,1361.7,1348.4,1351.3,-4.6000000000001,203,10391
09/12/17,1353.3,1358.7,1352.7,1355.9,-3.3999999999999,821,10380
09/11/17,1365.7,1366.5,1354.6,1359.3,-15.2,813,9784
09/08/17,1381.4,1381.4,1371.9,1374.5,1.3,1481,9502
09/07/17,1370.7,1378.1,1370.7,1373.2,12.1,446,9169
09/06/17,1366.1,1366.5,1360.3,1361.1,-5.3000000000002,455,9116
09/05/17,1360.2,1368.5,1359.5,1366.4,14.4,318,8971
09/01/17,1347.7,1352.4,1345.1,1352,8.5999999999999,1210,8876
08/31/17,1329,1349,1329,1343.4,7.6000000000001,396,8273
08/30/17,1335.2,1335.9,1334.4,1335.8,-4.8,623,8275
08/29/17,1345,1352.5,1333.2,1340.6,3.6999999999998,623,8275
08/28/17,1320.3,1339.4,1320.2,1336.9,17.8,717,8573
08/25/17,1314.4,1319.1,1313.3,1319.1,5.8999999999999,15,7918
08/24/17,1314.5,1314.7,1313.2,1313.2,-2.8,96,7923
08/23/17,1315.8,1316.1,1315.8,1316,3.3,1297,7914
08/22/17,1316.4,1316.4,1312.7,1312.7,-5.5,78,8115
08/21/17,1315,1320.5,1315,1318.2,5.3,17,8112
08/18/17,1320,1326.5,1312.9,1312.9,-1.0999999999999,138,8103
08/17/17,1315.3,1315.5,1313.2,1314,9.4000000000001,52,8097
08/16/17,1298,1304.8,1297,1304.6,3.3,3,8068
08/15/17,1305.5,1305.5,1294.7,1301.3,-10.6,81,8065
08/14/17,1312.9,1312.9,1308.3,1311.9,-3.3,85,8015
08/11/17,1318.3,1318.3,1314.8,1315.2,3.6000000000001,365,8026
08/10/17,1306.4,1312.3,1306.4,1311.6,10.8,230,7742
08/09/17,1297,1305,1297,1300.8,16.6,261,7721
08/08/17,1288.9,1289,1280.6,1284.2,-1.5999999999999,103,7631
08/07/17,1283.9,1285.9,1283.9,1285.8,0.29999999999995,7,7637
08/04/17,1296.6,1296.6,1284.1,1285.5,-9.9000000000001,91,7636
08/03/17,1288.7,1295.6,1288.7,1295.4,-3.8999999999999,29,7605
08/02/17,1291.7,1299.3,1291.7,1299.3,-0.79999999999995,100,7605
08/01/17,1295.8,1300.4,1295.8,1300.1,5.8,527,7554
07/31/17,1297.6,1297.6,1294.3,1294.3,-1.9000000000001,345,7331
07/28/17,1291,1296.3,1291,1296.2,8.9000000000001,74,7510
07/27/17,1288.7,1290.9,1283.7,1287.3,10.9,25,7484
07/26/17,1271.9,1282,1271.9,1276.4,-2.8999999999999,96,7493
07/25/17,1282,1282,1278.9,1279.3,-2.2,49,7487
07/24/17,1282.6,1284.6,1281.5,1281.5,-0.5,62,7440
07/21/17,1274.7,1282.6,1274.7,1282,8.8,137,7442
07/20/17,1268.7,1273.2,1268.7,1273.2,3.4000000000001,765,7556
07/19/17,1269.5,1270.5,1269.5,1269.8,0.20000000000005,3,7597
07/18/17,1269.6,1269.6,1269.6,1269.6,8.0999999999999,12,7599
07/17/17,1258.9,1262,1257.3,1261.5,6.5999999999999,21,7599
07/14/17,1256.7,1256.7,1254.9,1254.9,10.3,26,7595
07/13/17,1246.1,1247.4,1244.6,1244.6,-2.7,1688,7596
07/12/17,1248.1,1250.6,1247.3,1247.3,3.5,1083,6850
07/11/17,1238.4,1244.1,1238.4,1243.8,1.7,414,6593
07/10/17,1234.3,1242.1,1233.8,1242.1,3.5999999999999,235,6550
07/07/17,1250,1255.1,1236.5,1238.5,-14.3,87,6537
07/06/17,1251.7,1252.8,1251.7,1252.8,2.8,609,6533
07/05/17,1252.4,1253.6,1245.5,1250,3,269,6249
07/03/17,1248,1248,1247,1247,-23.1,193,6118
06/30/17,1270.1,1270.1,1270.1,1270.1,-3.7,0,6119
06/29/17,1269.1,1274.5,1269.1,1273.8,-3.1000000000001,44,6119
06/28/17,1277.5,1277.5,1276.9,1276.9,2.4000000000001,2,6109
06/27/17,1277.9,1278.4,1274.5,1274.5,0.70000000000005,57,6107
06/26/17,1282.5,1282.5,1273.8,1273.8,-10,2,6054
06/23/17,1286.7,1286.7,1283.8,1283.8,7.3,5,6054
06/22/17,1281.8,1281.9,1276.5,1276.5,3.5999999999999,71,6054
06/21/17,1274.7,1274.7,1270.9,1272.9,2.3000000000002,27,6042
06/20/17,1270.9,1272,1270.6,1270.6,-3.3000000000002,229,6016
06/19/17,1273.1,1273.9,1272.4,1273.9,-9.6999999999998,4,5916
06/16/17,1283,1283.6,1283,1283.6,1.8999999999999,1,5912
06/15/17,1282,1282,1280.4,1281.7,-21.4,6,5913
