,AAPL,AMD,MU,NVDA,PEP,COKE
482,114.06,6.75,17.61,66.85,105.99,141.47
483,113.89,6.96,17.73,67.34,106.4,142.5
484,113.05,6.78,17.7,68.23,106.01,141.44
485,113.0,6.97,17.8,68.3,107.1,143.49
486,112.52,6.95,17.73,68.45,108.25,145.12
487,113.05,6.91,17.78,68.52,108.77,148.16
488,112.18,6.67,17.54,67.4,107.76,143.41
489,113.95,6.59,17.44,66.78,107.38,146.13
490,113.09,6.54,18.0,66.54,107.49,148.19
491,112.88,6.32,17.36,64.34,107.03,144.5
492,112.71,6.55,17.48,64.95,107.34,148.52
493,114.62,6.37,17.59,65.02,107.82,150.53
494,113.55,6.29,17.66,64.86,107.13,145.95
495,113.57,6.17,16.92,63.09,106.3,145.73
496,113.58,6.16,16.95,63.67,105.67,144.64
497,114.92,6.05,17.48,62.84,105.28,143.85
498,115.57,6.02,17.45,62.69,105.48,146.4
