,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,,,SELL,-1,TO OPEN,NDX,3 MAY 19,7770,PUT,78.06,,
,4/25/19 13:04:36,VERTICAL,BUY,+1,TO CLOSE,NDX,19 JUL 19,7575,PUT,149.44,13.98,LMT
,,,SELL,-1,TO CLOSE,NDX,19 JUL 19,7525,PUT,135.46,DEBIT,
,4/25/19 13:02:04,VERTICAL,SELL,-1,TO OPEN,NDX,10 MAY 19,7890,CALL,64.10,4.00,LMT
,,,BUY,+1,TO OPEN,NDX,10 MAY 19,7900,CALL,60.10,CREDIT,
,4/25/19 12:54:37,VERTICAL,BUY,+1,TO CLOSE,NDX,19 JUL 19,7800,CALL,263.70,59.65,LMT
,,,SELL,-1,TO CLOSE,NDX,19 JUL 19,7900,CALL,204.05,DEBIT,
,4/23/19 07:46:40,DBL DIAG,SELL,-1,TO CLOSE,NDX,21 JUN 19,7700,CALL,232.41,184.58,LMT
,,,SELL,-1,TO CLOSE,NDX,21 JUN 19,7475,PUT,88.65,CREDIT,
,,,BUY,+1,TO CLOSE,NDX,3 MAY 19,7700,CALL,122.88,,
,,,BUY,+1,TO CLOSE,NDX,3 MAY 19,7475,PUT,13.60,,

